measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Saudi Arabia,Male,95+ years,Ischemic heart disease,Number,2019,21.399131039783875,34.41865570790948,12.32697316662502
YLDs (Years Lived with Disability),Saudi Arabia,Female,95+ years,Ischemic heart disease,Number,2019,15.792634789675493,25.296689140777985,8.719616745799069
YLDs (Years Lived with Disability),Saudi Arabia,Male,5-9 years,Ischemic heart disease,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Female,5-9 years,Ischemic heart disease,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Male,10-14 years,Ischemic heart disease,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Female,10-14 years,Ischemic heart disease,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Saudi Arabia,Male,15-19 years,Ischemic heart disease,Number,2019,2.6239341402160368,5.221178017121883,0.9938051648492229
YLDs (Years Lived with Disability),Saudi Arabia,Female,15-19 years,Ischemic heart disease,Number,2019,1.8952635298481255,3.8408519826881418,0.73408424436637
YLDs (Years Lived with Disability),Saudi Arabia,Male,20-24 years,Ischemic heart disease,Number,2019,29.389537150974938,46.99350248080072,17.097320779567937
YLDs (Years Lived with Disability),Saudi Arabia,Female,20-24 years,Ischemic heart disease,Number,2019,14.919830368697108,24.99389641726092,8.05523306621438
YLDs (Years Lived with Disability),Saudi Arabia,Male,25-29 years,Ischemic heart disease,Number,2019,123.20792611850734,223.40237935815048,57.798018177777145
YLDs (Years Lived with Disability),Saudi Arabia,Female,25-29 years,Ischemic heart disease,Number,2019,52.31028475098319,80.80086203169579,31.102878966124845
YLDs (Years Lived with Disability),Saudi Arabia,Male,30-34 years,Ischemic heart disease,Number,2019,312.8448759791197,569.3031273733627,146.97669115033682
YLDs (Years Lived with Disability),Saudi Arabia,Female,30-34 years,Ischemic heart disease,Number,2019,111.2037339295868,202.6342359743467,47.65450047777107
YLDs (Years Lived with Disability),Saudi Arabia,Male,35-39 years,Ischemic heart disease,Number,2019,620.9293854416193,1019.059116182899,326.9682075943792
YLDs (Years Lived with Disability),Saudi Arabia,Female,35-39 years,Ischemic heart disease,Number,2019,184.16103250307745,327.6977394393225,86.95116311515655
YLDs (Years Lived with Disability),Saudi Arabia,Male,40-44 years,Ischemic heart disease,Number,2019,1084.515624718207,1814.2942629059748,600.3685110991504
