"location","year","Nx0","sex","age"
"Saudi Arabia",2009,235885.372212327,"Female",0
"Saudi Arabia",2009,249503.798488338,"Male",0
"Saudi Arabia",2010,235494.743171566,"Female",0
"Saudi Arabia",2010,249163.985554616,"Male",0
"Saudi Arabia",2011,234725.928040386,"Female",0
"Saudi Arabia",2011,248391.423616015,"Male",0
"Saudi Arabia",2012,233508.794288591,"Female",0
"Saudi Arabia",2012,247104.804437265,"Male",0
"Saudi Arabia",2013,231904.754679668,"Female",0
"Saudi Arabia",2013,245403.82205257,"Male",0
"Saudi Arabia",2014,229940.133659861,"Female",0
"Saudi Arabia",2014,243324.005741923,"Male",0
"Saudi Arabia",2015,227621.424984923,"Female",0
"Saudi Arabia",2015,240866.566451767,"Male",0
"Saudi Arabia",2016,225005.700407271,"Female",0
"Saudi Arabia",2016,238100.172484429,"Male",0
"Saudi Arabia",2017,222119.643776204,"Female",0
"Saudi Arabia",2017,235050.081683087,"Male",0
"Saudi Arabia",2018,219466.697919864,"Female",0
"Saudi Arabia",2018,232241.937380666,"Male",0
"Saudi Arabia",2019,216950.97680653,"Female",0
"Saudi Arabia",2019,229576.249668867,"Male",0
"Saudi Arabia",2020,214435.255693196,"Female",0
"Saudi Arabia",2020,226910.561957069,"Male",0
"Saudi Arabia",2021,211919.534579862,"Female",0
"Saudi Arabia",2021,224244.87424527,"Male",0
"Saudi Arabia",2022,209403.813466528,"Female",0
"Saudi Arabia",2022,221579.186533472,"Male",0
"Saudi Arabia",2023,206343.481946491,"Female",0
"Saudi Arabia",2023,218340.918053509,"Male",0
"Saudi Arabia",2024,204310.970147898,"Female",0
"Saudi Arabia",2024,216190.229852102,"Male",0
"Saudi Arabia",2025,201749.583542274,"Female",0
"Saudi Arabia",2025,213479.916457726,"Male",0
"Saudi Arabia",2026,199777.611753746,"Female",0
"Saudi Arabia",2026,211393.288246254,"Male",0
"Saudi Arabia",2027,198665.784265526,"Female",0
"Saudi Arabia",2027,210216.815734474,"Male",0
"Saudi Arabia",2028,197323.360559192,"Female",0
"Saudi Arabia",2028,208796.339440807,"Male",0
"Saudi Arabia",2029,196511.172109554,"Female",0
"Saudi Arabia",2029,207936.927890446,"Male",0
"Saudi Arabia",2030,195856.795820984,"Female",0
"Saudi Arabia",2030,207244.504179016,"Male",0
"Saudi Arabia",2031,195066.374565975,"Female",0
"Saudi Arabia",2031,206408.125434025,"Male",0
"Saudi Arabia",2032,195509.541044149,"Female",0
"Saudi Arabia",2032,206877.058955851,"Male",0
"Saudi Arabia",2033,195371.115290798,"Female",0
"Saudi Arabia",2033,206730.584709202,"Male",0
"Saudi Arabia",2034,195454.102720325,"Female",0
"Saudi Arabia",2034,206818.397279675,"Male",0
"Saudi Arabia",2035,196263.910383052,"Female",0
"Saudi Arabia",2035,207675.289616948,"Male",0
"Saudi Arabia",2036,196520.355144788,"Female",0
"Saudi Arabia",2036,207946.644855212,"Male",0
"Saudi Arabia",2037,197654.289940055,"Female",0
"Saudi Arabia",2037,209146.510059945,"Male",0
"Saudi Arabia",2038,197415.871136371,"Female",0
"Saudi Arabia",2038,208894.228863629,"Male",0
"Saudi Arabia",2039,198744.350233644,"Female",0
"Saudi Arabia",2039,210299.949766356,"Male",0
"Saudi Arabia",2040,199182.074913161,"Female",0
"Saudi Arabia",2040,210763.125086839,"Male",0
"Saudi Arabia",2041,199846.994686629,"Female",0
"Saudi Arabia",2041,211466.705313371,"Male",0
"Saudi Arabia",2042,199570.143179927,"Female",0
"Saudi Arabia",2042,211173.756820073,"Male",0
"Saudi Arabia",2043,200067.047419844,"Female",0
"Saudi Arabia",2043,211699.552580156,"Male",0
"Saudi Arabia",2044,199970.795606089,"Female",0
"Saudi Arabia",2044,211597.704393911,"Male",0
"Saudi Arabia",2045,200300.02442487,"Female",0
"Saudi Arabia",2045,211946.07557513,"Male",0
"Saudi Arabia",2046,199952.089423203,"Female",0
"Saudi Arabia",2046,211577.910576797,"Male",0
"Saudi Arabia",2047,199423.214616173,"Female",0
"Saudi Arabia",2047,211018.285383827,"Male",0
"Saudi Arabia",2048,198368.526013857,"Female",0
"Saudi Arabia",2048,209902.273986143,"Male",0
"Saudi Arabia",2049,197557.698013883,"Female",0
"Saudi Arabia",2049,209044.301986117,"Male",0
"Saudi Arabia",2050,195722.791529042,"Female",0
"Saudi Arabia",2050,207102.708470958,"Male",0
